obs_date,source,metric,value,unit,note
2023-12-05,price,close,156.76,usd,
2023-12-05,price,pct_vs_entry,-37.296,pct,entry=250.0
2023-12-05,wikipedia,pageviews,341519,count,Grand_Theft_Auto_VI
2023-12-06,price,close,157.32,usd,
2023-12-06,price,pct_vs_entry,-37.072,pct,entry=250.0
2023-12-06,wikipedia,pageviews,153488,count,Grand_Theft_Auto_VI
2023-12-07,price,close,154.21,usd,
2023-12-07,price,pct_vs_entry,-38.316,pct,entry=250.0
2023-12-07,wikipedia,pageviews,82441,count,Grand_Theft_Auto_VI
2023-12-08,price,close,155.32,usd,
2023-12-08,price,pct_vs_entry,-37.872,pct,entry=250.0
2023-12-08,wikipedia,pageviews,56454,count,Grand_Theft_Auto_VI
2023-12-09,wikipedia,pageviews,43030,count,Grand_Theft_Auto_VI
2023-12-10,wikipedia,pageviews,37048,count,Grand_Theft_Auto_VI
2023-12-11,price,close,152.56,usd,
2023-12-11,price,pct_vs_entry,-38.976,pct,entry=250.0
2023-12-11,wikipedia,pageviews,30401,count,Grand_Theft_Auto_VI
2023-12-12,price,close,157.2,usd,
2023-12-12,price,pct_vs_entry,-37.12,pct,entry=250.0
2023-12-12,wikipedia,pageviews,23745,count,Grand_Theft_Auto_VI
2023-12-13,price,close,163.12,usd,
2023-12-13,price,pct_vs_entry,-34.752,pct,entry=250.0
2023-12-13,wikipedia,pageviews,20067,count,Grand_Theft_Auto_VI
2023-12-14,price,close,163.89,usd,
2023-12-14,price,pct_vs_entry,-34.444,pct,entry=250.0
2023-12-14,wikipedia,pageviews,18171,count,Grand_Theft_Auto_VI
2023-12-15,price,close,160.2,usd,
2023-12-15,price,pct_vs_entry,-35.92,pct,entry=250.0
2023-12-15,wikipedia,pageviews,16337,count,Grand_Theft_Auto_VI
2023-12-16,wikipedia,pageviews,15345,count,Grand_Theft_Auto_VI
2023-12-17,wikipedia,pageviews,14070,count,Grand_Theft_Auto_VI
2023-12-18,price,close,158.57,usd,
2023-12-18,price,pct_vs_entry,-36.572,pct,entry=250.0
2023-12-18,wikipedia,pageviews,14072,count,Grand_Theft_Auto_VI
2023-12-19,price,close,159.4,usd,
2023-12-19,price,pct_vs_entry,-36.24,pct,entry=250.0
2023-12-19,wikipedia,pageviews,12160,count,Grand_Theft_Auto_VI
2023-12-20,price,close,157.96,usd,
2023-12-20,price,pct_vs_entry,-36.816,pct,entry=250.0
2023-12-20,wikipedia,pageviews,10736,count,Grand_Theft_Auto_VI
2023-12-21,price,close,160.39,usd,
2023-12-21,price,pct_vs_entry,-35.844,pct,entry=250.0
2023-12-21,wikipedia,pageviews,12599,count,Grand_Theft_Auto_VI
2023-12-22,price,close,161.95,usd,
2023-12-22,price,pct_vs_entry,-35.22,pct,entry=250.0
2023-12-22,wikipedia,pageviews,14911,count,Grand_Theft_Auto_VI
2023-12-23,wikipedia,pageviews,11897,count,Grand_Theft_Auto_VI
2023-12-24,wikipedia,pageviews,11080,count,Grand_Theft_Auto_VI
2023-12-25,wikipedia,pageviews,11465,count,Grand_Theft_Auto_VI
2023-12-26,price,close,161.62,usd,
2023-12-26,price,pct_vs_entry,-35.352,pct,entry=250.0
2023-12-26,wikipedia,pageviews,10871,count,Grand_Theft_Auto_VI
2023-12-27,price,close,160.99,usd,
2023-12-27,price,pct_vs_entry,-35.604,pct,entry=250.0
2023-12-27,wikipedia,pageviews,9906,count,Grand_Theft_Auto_VI
2023-12-28,price,close,161.47,usd,
2023-12-28,price,pct_vs_entry,-35.412,pct,entry=250.0
2023-12-28,wikipedia,pageviews,9642,count,Grand_Theft_Auto_VI
2023-12-29,price,close,160.95,usd,
2023-12-29,price,pct_vs_entry,-35.62,pct,entry=250.0
2023-12-29,wikipedia,pageviews,9623,count,Grand_Theft_Auto_VI
2023-12-30,wikipedia,pageviews,9007,count,Grand_Theft_Auto_VI
2023-12-31,wikipedia,pageviews,9335,count,Grand_Theft_Auto_VI
2024-01-01,wikipedia,pageviews,9521,count,Grand_Theft_Auto_VI
2024-01-02,price,close,159.26,usd,
2024-01-02,price,pct_vs_entry,-36.296,pct,entry=250.0
2024-01-02,wikipedia,pageviews,9561,count,Grand_Theft_Auto_VI
2024-01-03,price,close,158.4,usd,
2024-01-03,price,pct_vs_entry,-36.64,pct,entry=250.0
2024-01-03,wikipedia,pageviews,9288,count,Grand_Theft_Auto_VI
2024-01-04,price,close,158.86,usd,
2024-01-04,price,pct_vs_entry,-36.456,pct,entry=250.0
2024-01-04,wikipedia,pageviews,8662,count,Grand_Theft_Auto_VI
2024-01-05,price,close,158.21,usd,
2024-01-05,price,pct_vs_entry,-36.716,pct,entry=250.0
2024-01-05,wikipedia,pageviews,8091,count,Grand_Theft_Auto_VI
2024-01-06,wikipedia,pageviews,8331,count,Grand_Theft_Auto_VI
2024-01-07,wikipedia,pageviews,8250,count,Grand_Theft_Auto_VI
2024-01-08,price,close,158.54,usd,
2024-01-08,price,pct_vs_entry,-36.584,pct,entry=250.0
2024-01-08,wikipedia,pageviews,7747,count,Grand_Theft_Auto_VI
2024-01-09,price,close,159.22,usd,
2024-01-09,price,pct_vs_entry,-36.312,pct,entry=250.0
2024-01-09,wikipedia,pageviews,8510,count,Grand_Theft_Auto_VI
2024-01-10,price,close,159.21,usd,
2024-01-10,price,pct_vs_entry,-36.316,pct,entry=250.0
2024-01-10,wikipedia,pageviews,8198,count,Grand_Theft_Auto_VI
2024-01-11,price,close,161.54,usd,
2024-01-11,price,pct_vs_entry,-35.384,pct,entry=250.0
2024-01-11,wikipedia,pageviews,7742,count,Grand_Theft_Auto_VI
2024-01-12,price,close,161.68,usd,
2024-01-12,price,pct_vs_entry,-35.328,pct,entry=250.0
2024-01-12,wikipedia,pageviews,7166,count,Grand_Theft_Auto_VI
2024-01-13,wikipedia,pageviews,6940,count,Grand_Theft_Auto_VI
2024-01-14,wikipedia,pageviews,7100,count,Grand_Theft_Auto_VI
2024-01-15,wikipedia,pageviews,6766,count,Grand_Theft_Auto_VI
2024-01-16,price,close,161.88,usd,
2024-01-16,price,pct_vs_entry,-35.248,pct,entry=250.0
2024-01-16,wikipedia,pageviews,6563,count,Grand_Theft_Auto_VI
2024-01-17,price,close,160.38,usd,
2024-01-17,price,pct_vs_entry,-35.848,pct,entry=250.0
2024-01-17,wikipedia,pageviews,6475,count,Grand_Theft_Auto_VI
2024-01-18,price,close,159.86,usd,
2024-01-18,price,pct_vs_entry,-36.056,pct,entry=250.0
2024-01-18,wikipedia,pageviews,7037,count,Grand_Theft_Auto_VI
2024-01-19,price,close,163.1,usd,
2024-01-19,price,pct_vs_entry,-34.76,pct,entry=250.0
2024-01-19,wikipedia,pageviews,7166,count,Grand_Theft_Auto_VI
2024-01-20,wikipedia,pageviews,7394,count,Grand_Theft_Auto_VI
2024-01-21,wikipedia,pageviews,7360,count,Grand_Theft_Auto_VI
2024-01-22,price,close,164.43,usd,
2024-01-22,price,pct_vs_entry,-34.228,pct,entry=250.0
2024-01-22,wikipedia,pageviews,6664,count,Grand_Theft_Auto_VI
2024-01-23,price,close,165.15,usd,
2024-01-23,price,pct_vs_entry,-33.94,pct,entry=250.0
2024-01-23,wikipedia,pageviews,6252,count,Grand_Theft_Auto_VI
2024-01-24,price,close,165.9,usd,
2024-01-24,price,pct_vs_entry,-33.64,pct,entry=250.0
2024-01-24,wikipedia,pageviews,6349,count,Grand_Theft_Auto_VI
2024-01-25,price,close,168.5,usd,
2024-01-25,price,pct_vs_entry,-32.6,pct,entry=250.0
2024-01-25,wikipedia,pageviews,6587,count,Grand_Theft_Auto_VI
2024-01-26,price,close,167.39,usd,
2024-01-26,price,pct_vs_entry,-33.044,pct,entry=250.0
2024-01-26,wikipedia,pageviews,6743,count,Grand_Theft_Auto_VI
2024-01-27,wikipedia,pageviews,7508,count,Grand_Theft_Auto_VI
2024-01-28,wikipedia,pageviews,7719,count,Grand_Theft_Auto_VI
2024-01-29,price,close,168.02,usd,
